publisher,pub_est
GOG Ltd,2008
Gogii Games,2006
Gotham Games,2002
Gottlieb,1927
Got Game Entertainment,2002
Grandslam Entertainment,1987
Graphsim Entertainment,1992
Gravity,2013
Great Wave Software,1984
Gremlin Industries,1973
Gremlin Interactive,1984
Grolier Interactive Inc,1982
Groove Games,2001
GSC World Publishing,2004
GTE Interactive Media,1990
GT Interactive,1993
GungHo Online Entertainment,1998
Gust Co. Ltd.,1993
Hacker International,1990
Haikuo Soft,2001
HAL Laboratory,1980
Hamster Corporation,1999
HanbitSoft,1999
Hasbro Interactive,1995
Hect,1988
HeR Interactive,1995
Heureka-Klett,1996
Hi Tech Expressions,1988
Hewson Consultants,1981
Hirameki,2000
Hodder & Stoughton,1868
Home Entertainment Suppliers,1984
Hooksoft,2000
HopeLab,2001
Houghton Mifflin Harcourt,1832
Hudson Soft,1973
Human Engineered Software,1980
Human Entertainment,1983
Humble Bundle,2010
HummingBirdSoft,1982
Humongous Entertainment,1992
IBM,1911
Iceberg Interactive,2009
ICOM Simulations,1981
Idea Factory,1994
id Software,1991
Ignition Entertainment,2002
Illusion Soft,2001
Imageepoch,2005
Image Works,1988
Imagic,1981
Imagine Software,1982
Impressions Games,1989
Incentive Software,1983
Incredible Technologies,1985
index+,1992
indiePub Entertainment,2008
Infocom,1979
Infogrames,1983
Innerprise Software,1989
Inscape,1994
Intellivision Productions,1997
Interactive Magic,1994
Interceptor Micros,1982
Interchannel,1931
International Games System,1989
Interplay Entertainment,1983
Introversion Software,2001
INTV Corporation,1984
inXile Entertainment,2002
iQue,2002
Irem,1997
ITE Media,1998
J.K. Greye Software,1981
Jaleco,1974
JAST USA,1996
Jester Interactive,1997
Johnson & Johnson,1886
JoWooD Productions,1995
JumpStart Games (formerly Knowledge Adventure),1989
K2 Network (Gamersfirst),2001
Kalisto Entertainment,1990
Kalypso Media,2006
Kaneko,1980
Kaypro,1981
Kemco,1984
King Games,2006
KID,1988
Kingsoft,1983
King Records,1931
Koch Media,1994
Kodansha,1938
Koei,1976
Koei Tecmo,2009
Kogado Studio,1916
Konami,1969
Krisalis Software,1987
KSS,1990
Kure Software Koubou,1985
La'cryma,2006
Lankhor,1987
Le Lombard,1946
Legacy Interactive,1998
Legendo Entertainment,1998
Legend Entertainment,1989
Lego Interactive,1996
Leland Corporation,1987
Level-5,1998
Level 9 Computing,1981
Linux Game Publishing,2001
Lighthouse Interactive,2005
LJN,1970
