Publisher,Headquarters,Est.,Notable games published,Notes,Active
Ariolasoft,Germany,1983,,Software publishing arm of Ariola Records. Reestablished as United Software in 1990.,0
Armor Games,United States,2005,,"Published flash titles before branching out into mobile, PC, and console markets.",1
Arsys Software,"Tokyo, Japan",1985,Star Cruiser,Defunct in 2001.,0
Artdink,"Tokyo, Japan",1986,A-Train,,0
Artic Computing,"Brandesburton, UK",1980,Bear Bovver,Defunct in 1986.,0
Arush Entertainment,"Scottsdale, Arizona, United States",1999,Duke Nukem: Manhattan Project,Acquired by HIP Interactive in 2004; defunct in 2005.,0
Arxel Tribe,Slovenia,1989,The Legend of the Prophet and the Assassin,Last game published in 2003.,0
Ascaron,"Gütersloh, Germany",1992,The Patrician,Known as Ascom until 1996. Defunct in 2009. Most assets acquired by Kalypso Media.,0
ASC Games,"Darien, Connecticut, United States",1992,Sanitarium,Defunct in 2000.,0
Asmik Corporation of America,Japan,1985,,Merged with Ace Entertainment.,0
Aspyr Media,"Austin, Texas, United States",1996,,Specializes in porting Windows games to Mac OS.,1
Astragon,"Mönchengladbach, Germany",2000,Family Park Tycoon,,1
"Atari, Inc","Sunnyvale, California, United States",1972,PongBreakoutAsteroidsCentipede,"Bought by Warner Bros. in 1976. Closed in 1984, assets split between Atari Corporation and Atari Games.",0
"Atari, SA","Paris, France",2003,Enter the MatrixTransformersUnreal Tournament 2004Star Trek Online,"Formerly GT Interactive Software, became full subsidiary of Atari, SA in 2008.",1
Athena,Japan,1987,Sword Master,No longer publishes video games.,0
Atlantis Software,"London, England, UK",1984,Cops 'n' Robbers,Defunct in 1992.,0
AQ Interactive,"Tokyo, Japan",2000,,Also a video game developer.,1
Artech Digital Entertainment,"Ottawa, Ontario, Canada",1982,Mystery at the Museums,Defunct in 2011.,0
ASCII Corporation,"Tokyo, Japan",1977,,Acquired by Kadokawa Group Holdings in 2004.,0
Atlus,"Shinjuku, Tokyo, Japan",1986,Persona seriesDevil Survivor series,Also a video game developer. Purchased by Sega in 2013.,1
Attic Entertainment Software,"Albstadt, Germany",1990,The Oath,Defunct in 2001.,0
Audiogenic Limited,"Reading, Berkshire, UK",1975,Various Commodore PET games,Defunct in 1985; reformed as Audiogenic Software Ltd.,0
August,Japan,2001,Princess Holiday,,1
Auran Development,"Helensvale, Queensland, Australia",1995,SpellForce: The Order of Dawn,Now known as N3V Games.,0
Automata UK,"Portsmouth, Hampshire, England, UK",1977,Deus Ex Machina,Defunct in 1985.,0
Autumn Games,"New York City, United States",2007,Skullgirls,Focused on providing publishing services for independent developers for digital platforms.,1
Avalon Hill,"Renton, Washington, United States",1954,Achtung Spitfire!,Acquired by Hasbro in 1998.,0
Aventuras AD,Spain,1987,Various text adventure games,Defunct in 1992.,0
Aventurine SA,"Athens, Greece",2002,Darkfall,Also a video game developer.,1
BAM! Entertainment,"San Jose, California, United States",1999,Bujingai,Dormant since 2004.,0
Bandai Games,"Shinagawa, Tokyo, Japan",1950,,Video game operations merged with Namco as Namco Bandai Games. No longer publishes video games.,0
Bandai Namco Entertainment,"Shinagawa, Tokyo, Japan",1955,Naruto: Ultimate Ninja,,1
Banpresto,"Shinagawa, Tokyo, Japan",1977,,Acquired by Namco Bandai Holdings. No longer publishes video games.,0
BBC Multimedia,"London, England, UK",1995,Doctor Who: Destiny of the Doctors,Defunct in 2005.,0
Beagle Bros,"San Diego, California, United States",1980,Beagle Bag,Defunct in 1991.,0
Bergsala Lightweight,"Tokyo, Japan",1995,Apron of Magic,,1
Berkeley Systems,"Berkeley, California, United States",1987,You Don't Know Jack,Acquired by Sierra in 1997. Defunct in 2000.,0
Bethesda Softworks,"Rockville, Maryland, United States",1986,"Fallout 3, 4 and New VegasElder ScrollsWolfenstein: The New OrderThe Evil WithinDoom (2016)",Also a video game developer.,1
Beyond Software,United Kingdom,1983,Lords of Midnight,Acquired by Telecomsoft in 1985.,0
Big Fish Games,"Seattle, Washington, United States",2002,Virtual Villagers,Acquired by Aristocrat Technologies in 2018,1
Big Five Software,"Van Nuys, California, United States",1980,Miner 2049er,Defunct in 1984.,0
Bigben Interactive,"Lesquin, France",1981,,,1
Black Bean Games,"Gazzada Schianno, Italy",2004,SBK-07: Superbike World Championship,Merged with Milestone S.r.l. in 2012.,0
Blue Byte,"Düsseldorf, Germany",1988,The Settlers,Also a video game developer. Acquired by Ubisoft and their games are now published by Ubisoft.,0
Broderbund,United States,1980,MystPrince of Persia,"Acquired by Ubisoft, eventually sold to The Learning Company. No longer publishes video games.",0
Black Legend,"Welwyn, UK",1993,Football Glory,Defunct in 1996.,0
Blizzard Entertainment,"Irvine, California, United States",1991,Diablo seriesStarCraft seriesWarcraft seriesHearthstoneHeroes of the StormOverwatch,"Also a video game developer. Acquired by Davidson & Associates in 1994, renamed from Silicon & Synapse. Acquired by CUC International in 1996, which merged into Cendant in 1997 and was sold to Havas in 1998. Acquired by Vivendi and become part of Vivendi Games group in 1998. Merged into Activision Blizzard in 2008.",1
Blue Ribbon,"Doncaster, UK",1985,3D Dotty,Label of CDS Micro Systems. Defunct in 1991.,0
Bohemia Interactive,"Prague, Czech Republic",1999,ARMA series,,1
"Box Office, Inc.","St. Paul, Minnesota, United States",1987,ALF: The First Adventure,Published last game in 1989.,0
Brash Entertainment,"Hollywood, California, United States",2007,Jumper: Griffin's Story,Defunct in 2008.,0
Broccoli,"Tokyo, Japan",1994,First Kiss Story II,,1
Bug-Byte,"Liverpool, UK",1980,Manic Miner,,0
Bubble Bus Software,"Tonbridge, Kent, UK",1982,Starquake,Defunct in 1989.,0
BudgeCo,"California, United States",1981,Raster Blaster,Defunct in 1983.,0
Bullet-Proof Software,Japan,1980,The Black Onyx,Defunct.,0
Bungie,"Bellevue, Washington",1991,DestinyMarathon TrilogyAbuse,Also a video game developer. Formerly a subsidiary of Microsoft. Formerly had a publishing deal with Activision.,1
C&E,"Taipei, Taiwan",1990,Super Fighter,No longer publishes video games.,0
California Dreams,"California, United States",1987,Blockout,Publishing label of Logical Design Works. Defunct in 1991.,0
California Pacific Computer Company,"Davis, California, United States",1979,Akalabeth: World of Doom,Defunct in 1983.,0
Camerica,"Chicago, Illinois",1988,,,0
Canal+ Multimedia,France,1984,Paris 1313,Publishing arm of the Canal+ Group. No longer publishes video games.,0
Candy Soft,Japan,1996,Tsuyokiss,,1
