Developer,Active,City,Autonomous area,Country,Est.,"Notable games, series or franchises",Notes
Hangar 13,1,Novato,California,US,2014,Mafia III,Subsidiary of 2K Games
Harebrained Schemes,1,Seattle,Washington,US,2011,Shadowrun ReturnsShadowrun: DragonfallShadowrun: Hong Kong,Acquired by Paradox Interactive in 2018
Harmonix Music Systems,1,Cambridge,Massachusetts,US,1995,Guitar Hero seriesRock Band seriesDance Central series,Former subsidiary of Viacom
Headstrong Games,0,London,,England,2000,Battalion Wars seriesArt Academy series,Subsidiary of Kuju Entertainment; defunct in 2017
Heartbeat,0,Tokyo,,Japan,1992,Dragon Quest VI–VII,
HB Studios,1,Lunenburg,Nova Scotia,Canada,2000,The Golf Club series,
HeroCraft,1,Kaliningrad,,Russia,2001,"Warhammer 40,000: Space Wolf",
High Impact Games,1,Burbank,California,US,2003,Ratchet & Clank: Size MattersSecret Agent ClankJak and Daxter: The Lost Frontier,Founded by former employees of Insomniac Games & Naughty Dog
High Moon Studios,1,San Diego,California,US,2005,Transformers: War for Cybertron seriesDeadpool,Subsidiary of Activision
High Voltage Software,1,Hoffman Estates,Illinois,US,1993,The Conduit series,
Hoplon Infotainment,1,Florianópolis,Santa Catarina,Brazil,2004,Taikodom,
Hothead Games,1,Vancouver,British Columbia,Canada,2006,DeathSpankSwarm,Founded by former employees of Radical Entertainment
Housemarque,1,Helsinki,,Finland,1995,Super Stardust,
Hudson Soft,0,Tokyo,,Japan,1973,Bomberman seriesAdventure Island seriesFar East of Eden seriesMomotaro Dentetsu seriesMario Party series,Developer/publisher; acquired and dissolved by Konami
Human Entertainment,0,Tokyo,,Japan,1983,Fire Pro Wrestling seriesFormation Soccer seriesTwilight Syndrome series,
Human Head Studios,0,Madison,Wisconsin,US,1997,RunePrey,
Humongous Entertainment,1,Bothell,Washington,US,1992,Fatty Bear's Birthday SurprisePutt-Putt seriesFreddi Fish seriesPajama Sam seriesSpy Fox seriesBackyard Sports series,Former subsidiary of Infogrames; closed in 2006; their assets and brand were acquired by Tommo and relaunched in 2013
Hyperion Entertainment,1,Brussels,,Belgium,1999,,
Ice-Pick Lodge,1,Moscow,,Russia,2002,Pathologic series,
id Software,1,Mesquite,Texas,US,1991,Wolfenstein seriesDoom seriesQuake series,"Acquired by ZeniMax Media in June 24, 2009"
Idea Factory,1,"Shibuya, Tokyo",,Japan,1994,Amnesia series,Developer/publisher
Idol Minds,1,Westminster,Colorado,US,1997,Cool Boarders 3–4PainNeopets:  Darkest FaerieRally Cross,
Imageepoch,0,Tokyo,,Japan,2005,Luminous Arc seriesFate/Extra series,Defunct in 2016
Image & Form,1,Gothenburg,,Sweden,1997,SteamWorld series,Subsidiary of Thunderful
Imagineer,1,Tokyo,,Japan,1986,Shape Boxing series,
Infinity Ward,1,Woodland Hills,California,US,2002,Call of Duty series,Acquired by Activision in 2003.
Infocom,0,Cambridge,Massachusetts,US,1979,Zork seriesPlanetfall seriesThe Hitchhiker's Guide to the GalaxyLeather Goddesses of Phobos,Closed in 1989.
Incognito Entertainment,0,Salt Lake City,Utah,US,1999,Twisted Metal seriesWarhawk (2007),Formed by former employees of SingleTrac; subsidiary of SCE Worldwide Studios; defunct in 2009
Incredible Technologies,0,Arlington Heights,Illinois,US,1985,Golden Tee Golf,"Defunct in 2016; arcade game designer, arcade game manufacturer"
indieszero,1,Musashino,,Japan,1997,Cooking Guide: Can't Decide What to Eat?,
Innerloop Studios,0,Oslo,,Norway,1996,Project I.G.I. series,Defunct in 2003
Insomniac Games,1,Burbank,California,US,1994,Spyro the Dragon seriesRatchet & Clank seriesResistance seriesSunset OverdriveSpider-Man (2018),Acquired by Sony Interactive Entertainment in 2019 as a division of SIE Worldwide Studios
Intelligent Systems,1,Tokyo,,Japan,1986,Fire Emblem franchiseAdvance Wars seriesPaper Mario seriesPuzzle League series,Developer closely associated with Nintendo
Interplay Entertainment,1,Beverly Hills,California,US,1983,Earthworm Jim seriesClayFighter seriesWastelandFallout seriesThe Bard's Tale series,Developer/publisher
Introversion Software,1,London,,England,2002,DarwiniaDEFCON,
inXile Entertainment,1,Newport Beach,California,US,2002,Wasteland 2The Bard's Tale IV: Barrows Deep,Founded by one of Interplay Entertainment founders; acquired by Microsoft Studios in 2018
IO Interactive,1,Copenhagen,,Denmark,1998,Hitman seriesKane & Lynch series,"Subsidiary of Square Enix until 2017 when they dropped IO, they then became independent"
Ion Storm,0,Dallas,Texas,US,1996,DaikatanaAnachronox,Shut down in 2001; subsidiary of Eidos Interactive
Ion Storm Austin,0,Austin,Texas,US,1997,Deus ExThief: Deadly Shadows,Shut down in 2005; subsidiary of Eidos Interactive
Irem,1,Hakusan,,Japan,1974,R-Type seriesDisaster Report series,Subsidiary of Eizo
Iron Galaxy Studios,1,Chicago,Illinois,US,2008,DivekickBorderlands 2 (PSVita),
Iron Lore Entertainment,0,Maynard,Massachusetts,US,2000,"Titan Quest seriesWarhammer 40,000: Dawn of War – Soulstorm",Defunct in 2008
Irrational Games,0,Quincy,Massachusetts,US,1996,System Shock 2Freedom Force seriesBioShock series,Subsidiary of 2K Games; defunct in 2017. Their main employees moved to Ghost Story Games.
Ivory Tower,1,Lyon,,France,2007,The Crew series,Subsidiary of Ubisoft;[15] founded by former employees of Eden Games
Jadestone Group,1,Stockholm,,Sweden,2000,,"Subsidiary of WMS Industries; Online game developer, mobile game developer"
Jagex,1,Cambridge,,England,2001,RuneScape,Subsidiary of Shanghai Fukong Interactive Entertainment (formerly Zhongji Holding); online game developer
Jaleco,0,Tokyo,,Japan,1974,Idol Janshi Suchie-Pai series,Acquired by Game Yarou in 2009 and defunct in 2014
Jam City,1,Los Angeles,California,US,2007,Harry Potter: Hogwarts Mystery,Subsidiary of Netmarble;[16] mobile game developer
Javaground,0,Irvine,Massachusetts,US,2001,God of War: Betrayal,Mobile game developer
Jupiter,1,Kyoto,,Japan,1996,Picross seriesPokémon Pinball series,
JV Games,0,Las Vegas,Nevada,US,1999,,
Kairosoft,1,Tokyo,,Japan,1996,Game Dev Story,
Kalypso Media,1,Worms,,Germany,2006,Tropico series,Developer/publisher
Kaos Studios,0,New York City,New York,US,2006,Frontlines: Fuel of WarHomefront,Subsidiary of THQ
Keen Software House,1,Prague,,Czech Republic,2010,Space Engineers,
Kesmai,0,Charlottesville,Virginia,US,1981,Island of Kesmai,Subsidiary of Electronic Arts; closed in 2001
Kiloo Games,1,Aarhus,,Denmark,2000,Subway SurfersFrisbee Forever,Mobile game developer
King,1,Stockholm,,Sweden,2003,Candy Crush series,Subsidiary of Activision Blizzard; Mobile game developer
Koei Tecmo Games (formerly Koei),1,Ashikaga,,Japan,1978,Warriors franchise Dynasty Warriors series Samurai Warriors series Warriors Orochi series Trilogy of Histories franchise  Nobunaga's Ambition series Romance of the Three Kingdoms series Genghis Khan series Ninja Gaiden seriesDead or Alive franchiseNioh seriesFire Emblem: Three Houses,Developer/publisher; subsidiary of Koei Tecmo Holdings
KOG Studios,1,Seoul,,South Korea,2000,Elsword,
Kojima Productions,1,Tokyo,,Japan,2005,Death Stranding,
Konami,1,Tokyo MidtownMinato,,Japan,1969,Gradius seriesContra seriesMetal Gear seriesCastlevania seriesPro Evolution Soccer seriesSilent Hill seriesTwinBee seriesBemani seriesPower Pros seriesProfessional Baseball Spirits seriesMystical Ninja seriesTokimeki Memorial seriesLovePlus seriesSuikoden series,Developer/publisher
Kongzhong,1,Beijing,,China,2002,,
Krome Studios,0,Brisbane,Queensland,Australia,1999,The Legend of Spyro: A New Beginning,Defunct
Krome Studios Melbourne,0,Melbourne,Victoria,Australia,1988,Horace series,Defunct
Kuju Entertainment,1,Shalford,,England,1998,Microsoft Train Simulator,Subsidiary of Catalis SE
Kunos Simulazioni,1,Rome,,Italy,2005,Assetto Corsa series,Subsidiary of Digital Bros
Kush Games,0,Camarillo,California,US,1998,,
Kuma Reality Games,0,New York City,New York,US,2003,,
Kylotonn,1,Paris,,France,2002,WRC 5–V-Rally 4,Acquired by Bigben Interactive in 2018[17]
Larian Studios,1,Oudenaarde,,Belgium,1996,Divinity series,
Legacy Interactive,1,Los Angeles,California,US,1998,Emergency Room series,
Legend Entertainment,0,Chantilly,Virginia,US,1989,Spellcasting seriesSuperhero League of HobokenThe Wheel of TimeUnreal II,Closed in 2004.
Legendo Entertainment,1,Gothenburg,,Sweden,2004,,Developer/publisher
Level-5,1,Fukuoka,,Japan,1998,Dark CloudRogue GalaxyProfessor LaytonInazuma ElevenNi no KuniYo-Kai WatchSnack WorldDragon Quest VIII–IX,Developer/publisher and founded by Akihiro Hino
Lift London,0,London,,England,2012,videogame developer for Microsoft Hololens,Subsidiary by Microsoft Studios in 2018
Limbic Entertainment,1,Langen,,Germany,2002,Might & Magic X: LegacyMight & Magic Heroes VIITropico 6,
Lionhead Studios,0,Guildford,,England,1997,Black & White seriesFable series,Closed by Microsoft Studios in 2016
Liquid Entertainment,0,Pasadena,California,US,1999,Battle Realms,Dissolved in 2018[18]
Little Green Men Games,1,Zagreb,,Croatia,2006,Starpoint Gemini,
LK Avalon,1,"Świlcza, Rzeszów",,Poland,1989,Hans KlossSchizm: Mysterious Journey,
Llamasoft,1,Reading,,England,1982,,
Linden Lab,1,San Francisco,California,US,1999,Second Life,
Locomotive Games,0,Santa Clara,California,US,1997,Jet Moto 3,Defunct in 2008
Looking Glass Studios,0,Cambridge,Massachusetts,US,1990,Ultima Underworld seriesSystem Shock seriesThief series,
LucasArts,0,San Francisco,California,US,1982,Maniac MansionSam & Max Hit the RoadDay of the TentacleMonkey Island seriesThe DigFull ThrottleGrim FandangoStar Wars: The Force Unleashed seriesStar Wars: Battlefront series,"Publisher and former developer; closed as developer of April 3, 2013 by Disney"
Luma Arcade,0,Johannesburg,,South Africa,2006,,Division of Luma Animation
Luxoflux,0,Santa Monica,California,US,1998,True Crime series,
MachineGames,1,Uppsala,,Sweden,2009,Wolfenstein series,Founded by former employees of Starbreeze Studios; acquired by ZeniMax Media in 2010
Magenta Software,0,Liverpool,,England,1994,Buzz! Junior series,
MAGES.,1,"Shibuya, Tokyo",,Japan,2005,Science Adventure franchise Steins;Gate series Robotics;Notes series Chaos;Child series,Subsidiary of Dwango until 2019
Majesco Entertainment,0,Edison,New Jersey,US,1986,,"Defunct December 8, 2016"
Marvelous,1,"Shibuya, Tokyo",,Japan,1997,Senran Kagura seriesSoul Sacrifice series Story of Seasons franchise  Rune Factory series Fate/Extella seriesKandagawa Jet GirlsDaemon X MachinaSuper Monkey Ball: Banana Splitz,Developer/publisher
Massive Entertainment,1,Malmö,,Sweden,1997,Ground ControlWorld In ConflictTom Clancy's The Division series,Founded in 1997; former subsidiary of Activision and acquired by Ubisoft in 2008
Masthead Studios,1,Sofia,,Bulgaria,2005,Earthrise,
Maxis,1,Emeryville,California,US,1987,The Sims seriesSimCity series,Became a subsidiary of Electronic Arts in 1997
Mean Hamster Software,0,Deer Park,Washington,US,1985,,
Media Molecule,1,Guildford,,England,2006,LittleBigPlanet seriesTereaway,Founded by former employees of Lionhead Studios; division of SIE Worldwide Studios since 2010
Media.Vision,1,Tokyo,,Japan,1993,Wild Arms seriesChaos Rings seriesDigimon Story: Cyber SleuthSummon Night 6,
Mediatonic,1,London,,England,2005,Robot Unicorn Attack,
MegaZebra,1,Munich,,Germany,2009,,
Mercury Steam,1,Madrid,,Spain,2002,Castlevania: Lords of Shadow series,
Metropolis Software,0,Warsaw,,Poland,1992,TeenagentGorky 17Infernal,Studio was bought by CD Projekt in 2008 and closed in 2009.
MicroProse Software,0,Hunt Valley,Maryland,US,1982,Silent ServiceGunshipPirates!Railroad TycoonCivilization series,
MTO,1,Yokohama,,Japan,1996,GT Advance series,
Microsoft Casual Games,1,Redmond,Washington,US,2013,SolitaireMahjongMinesweeperWordament,Subsidiary by Microsoft Studios
Midway Games,0,Chicago,Illinois,US,1988,Mortal Kombat series,"As of 2012, Midway is a corporation existing under Delaware law subject to a Chapter 11 bankruptcy liquidation plan"
Midway Studios – Newcastle,0,Gateshead,,England,1996,Test Drive 4–6,Defunct in 2009
Milestone,0,"Suginami, Tokyo",,Japan,2003,Chaos Field series,
Milestone srl,1,Milan,,Italy,1996,Superbike seriesMotoGP seriesWRC 1–4MXGP seriesRide series,Acquired by Koch Media in 2019
Mimimi Games,1,Munich,,Germany,2011,Desperados III,
Mistwalker,1,Tokyo,,Japan,2004,Blue Dragon,
Mitchell Corporation,0,Tokyo,,Japan,1960,PolariumPuzz Loop series,
MLB Advanced Media,1,New York City,New York,US,2000,R.B.I. Baseball 18,
Mojang AB,1,Stockholm,,Sweden,2009,MinecraftScrollsCobalt,"Former Indie developer and publisher; acquired by Microsoft on September 15, 2014"
Monolith Productions,1,Kirkland,Washington,US,1994,F.E.A.R. seriesMiddle-earth: Shadow of Mordor Middle-earth: Shadow of War,Acquired by Warner Bros. Interactive Entertainment in 2004
Monolith Soft,1,Tokyo,,Japan,1999,Xenosaga seriesXenoblade Chronicles seriesProject X Zone series,Founded by Tetsuya Takahashi and former subsidiary of Namco; acquired by Nintendo as a first-party developer and subsidiary in 2007
Monster Games,1,Northfield,Minnesota,US,1996,NASCAR Heat series,
Mythic Entertainment,0,Fairfax,Virginia,US,1995,Dark Age of Camelot,Acquired by Electronic Arts in 2006 and closed in 2014
Nadeo,1,Paris,,France,2000,TrackMania,Acquired by Ubisoft in 2009
Namco Tales Studio,0,Tokyo,,Japan,1986,Tales series,Originally it was division or subsidiary of Telenet Japan but it became a jointly-owned company of Namco and Telenet Japan
Nanobit,1,Zagreb,,Croatia,2008,,
NAPS team,1,Messina,,Italy,1993,Gekido series,NAPS team is the oldest Italian development studio
Natsume,1,"Shinjuku, Tokyo",,Japan,1987,Harvest Moon seriesMetabots series,
NaturalMotion,1,London,,England,2001,Backbreaker series,Acquired by Zynga
Naughty Dog,1,Santa Monica,California,US,1986,Crash Bandicoot seriesJak and Daxter seriesUncharted seriesThe Last of Us series,Division of SIE Worldwide Studios since 2001
NCSoft,1,Seoul,,South Korea,1997,AionLineage seriesBlade & Soul,Online game developer/publisher
NDcube,1,Tokyo,,Japan,2000,Wii Party seriesMario Party series,Subsidiary of Nintendo
NDOORS Corporation,0,Seoul,,South Korea,1999,Atlantica Online,Developer/publisher; subsidiary of Nexon; merged into Nexon Red in 2017[19]
Neko Entertainment,0,Montreuil-sous-Bois,,France,1998,CocotoThe Mysterious Cities of Gold: Secret PathsKung Fu RabbitPuddle,Developer/publisher; defunct in 2017
Neowiz,1,Seoul,,South Korea,1997,Bless Online,
Nerve Software,1,Richardson,Texas,US,1999,,
NetDevil,0,Louisville,Colorado,US,1997,LEGO Universe,
NetDragon Websoft,1,Fuzhou,,China,1999,Disney Fantasy Online,
NetEase,1,Guangzhou,,China,1997,Fantasy Westward Journey,"Developer, publisher, and online services company"
NetherRealm Studios,1,Chicago,Illinois,US,2010,Mortal Kombat seriesInjustice: Gods Among Us Injustice 2,Successor to Midway Games; Subsidiary of Warner Bros. Interactive Entertainment
Neverland,0,Tokyo,,Japan,1993,Rune Factory series,
Neversoft,0,Woodland Hills,California,US,1994,Guitar Hero seriesTony Hawk seriesGun,Acquired by Activision in 1999; merged into Infinity Ward in 2014
Nevosoft,1,St. Petersburg,,Russia,2002,,
New World Computing,0,Agoura Hills,California,US,1984,Might and Magic franchise Heroes of Might and Magic series,
NexonNexon Korea,1,TokyoSeoul,,JapanSouth Korea,20021994,MapleStoryMabinogiVindictusAtlantica Online,"Online video game developer, publisher and distributor; moved its headquarters from Korea to Japan."
Next Level Games,1,Vancouver,British Columbia,Canada,2002,Super Mario StrikersLuigi's Mansion: Dark MoonLuigi's Mansion 3Spider-Man: Friend or Foe,
NGD Studios,1,Buenos Aires,,Argentina,2002,Regnum OnlineMaster of Orion: Conquer the Stars,
Niantic,1,San Francisco,California,US,2010,IngressPokémon Go,
Nibris,0,Kraków,,Poland,2000,,
Nicalis,1,Santa Ana,California,US,2007,VVVVVVCave StoryNightSky1001 SpikesThe Binding of Isaac: RebirthCrystal Crisis,Indie developer/publisher
Nihon Falcom,1,Tokyo,,Japan,1981,Ys seriesDragon Slayer series The Legend of Heroes franchise  Xanadu series The Legend of Heroes: Trails of Cold Steel series Zwei!!Zwei: The Ilvard InsurrectionBrandishVantage MasterGurumin: A Monstrous Adventure,Developer/publisher
Nikita Online,1,St. Petersburg,,Russia,1991,,
Ninjabee,1,Orem,Utah,US,2005,,Division of Wahoo Studios
Ninja Theory,1,Cambridge,,England,2000,Heavenly SwordEnslaved: Odyssey to the WestDmC: Devil May CryHellblade: Senua's Sacrifice,Former Indie developer and publisher; acquired by Microsoft Studios in 2018
Nintendo,1,Kyoto,,Japan,1889,Super Mario franchiseThe Legend of Zelda franchisePokémon franchiseFire Emblem franchiseSplatoon seriesMetroid franchiseKid Icarus seriesPikmin seriesXenoblade Chronicles seriesAnimal Crossing seriesF-Zero seriesStar Fox seriesKirby franchiseMother seriesSuper Smash Bros. seriesMiitopiaBrain Age seriesTomodachi Life,First-party developer/publisher/console manufacturer
Nippon Ichi Software,1,Kakamigahara,,Japan,1991,Rhapsody: A Musical AdventureLa Pucelle: TacticsDisgaea seriesPhantom BraveGrimGrimoireHotaru no Nikki,Developer/publisher
Nival,1,St. Petersburg,,Russia,1996,Etherlords seriesBlitzkrieg seriesHeroes of Might and Magic V,
Nordeus,1,Belgrade,,Serbia,2009,Top Eleven Football Manager,Developer/publisher
NovaLogic,0,Agoura Hills,California,US,1985,Delta Force seriesJoint Operations series,Their assets were acquired by THQ Nordic
Novarama,1,Barcelona,,Spain,2003,Invizimals series,
Now Production,1,Osaka,,Japan,1986,Mario Super SluggersSonic Riders,
n-Space,0,Orlando,Florida,US,1994,"Heroes of RuinPort for various video games, include Call of Duty series",
Obsidian Entertainment,1,Irvine,California,US,2004,Fallout New VegasNeverwinter Nights 2Dungeon Siege IIISouth Park: The Stick of TruthPillars of EternityThe Outer Worlds,Acquired by Microsoft Studios in 2018
Oddworld Inhabitants,1,San Luis Obispo,California,US,1994,Oddworld series,
Omega Force,1,Ashikaga,,Japan,1997,Warriors franchise Dynasty Warriors series Dynasty Warriors: Gundam series Samurai Warriors series Warriors Orochi series One Piece: Pirate Warriors series Hyrule Warriors Fire Emblem Warriors Dragon Quest Heroes seriesDragon Quest Builders 2Persona 5 Scramble,Division of Koei Tecmo Games
Origin Systems,0,Austin,Texas,US,1983,Ultima seriesUltima OnlineWing Commander series,Acquired by Electronic Arts in 1992 and closed in 2004
OtherSide Entertainment,1,Boston,Massachusetts,US,2013,Underworld AscendantSystem Shock 3,Founded by one of Looking Glass Studios founders.
Outrage Entertainment,0,Ann Arbor,Michigan,US,1996,Descent 3,Closed in 2004
Overkill Software,1,Stockholm,,Sweden,2009,Payday series,Acquired by Starbreeze Studios in 2012
Oxygen Studios,0,Croydon,,England,2006,King of Clubs,
Page 44 Studios,0,San Francisco,California,US,1998,FreekstyleHigh School Musical 3: Senior Year DanceMadden NFL 11 iOSuDraw PictionaryWorld of Goo iOS,Subsidiary of Zynga; closed in 2011.
Pangea Software,1,Austin,Texas,US,1987,,
People Can Fly,1,Warsaw,,Poland,2002,BulletstormPainkiller,
Project Sora,0,Tokyo,,Japan,2009,Kid Icarus: Uprising,Subsidiary of Nintendo; became defunct in 2012
Papaya Studio,0,Irvine,California,US,1999,,
Project Soul,1,Tokyo,,Japan,1996,Soul series,Division of Bandai Namco Studios
Panther Games Pty Ltd,1,Canberra,,Australia,1985,Fire-BrigadeCommand Ops: Battles from the Bulge,
Paradox Development Studio,1,Stockholm,,Sweden,1995,Europa Universalis seriesHearts of Iron seriesCrusader Kings series,In-house development studio and subsidiary of Paradox Interactive
Parallax Software,0,Ann Arbor,Michigan,US,1993,Descent series,Split into Volition and Outrage Entertainment
Pandemic Studios,0,Los Angeles,California,US,1998,Star Wars: BattlefrontDestroy All Humans! seriesFull Spectrum WarriorMercenaries: Playground of DestructionThe Saboteur,Acquired by Electronic Arts in 2007 and closed in 2009.
Pendulo Studios,1,Madrid,,Spain,1993,Runaway series,
Penguin Software,0,Geneva,Illinois,US,1978,Transylvania series,
Perfect World,1,Beijing,,China,2004,Perfect World series,Developer/publisher
Petroglyph,1,Las Vegas,Nevada,US,2003,Star Wars: Empire at WarUniverse at War: Earth AssaultGrey Goo,
Phantagram,1,Seoul,,South Korea,1994,Kingdom Under Fire series,Acquired by Blueside in 2010[20]
Phenomic Game Development,0,Ingelheim am Rhein,,Germany,1997,SpellForce seriesBattleForgeLord of UltimaCommand and Conquer: Tiberium Alliances,Acquired by Electronic Arts in 2006; shut down in 2013
Pipeworks Studios,1,Eugene,Oregon,US,1999,Godzilla: Destroy All Monsters MeleeDeadliest WarriorZumba Fitness,Subsidiary of Northern Pacific Group
Piranha Bytes,1,Essen,,Germany,1997,Gothic 1–3Risen seriesELEX,Acquired by THQ Nordic in 2019
Piranha Games,1,Vancouver,British Columbia,Canada,2000,MechWarrior 5MechWarrior OnlineBass Pro Shops: The StrikeDie Hard: Nakatomi Plaza,
Pi Studios,0,Houston,Texas,US,2002,Bomberman Live: Battlefest,
Pivotal Games,0,Bath,,England,2000,Conflict seriesThe Great Escape,
Pixel Federation,1,Bratislava,,Slovakia,2007,Galactic Junk League,Developer/Publisher
Playdom,0,San Francisco,California,US,2009,,"Facebook, Myspace game developer Subsidiary of The Walt Disney Company; closed in 2016"
Playfish,0,London,,England,2007,The Sims Social,"Facebook, Myspace game developer Acquired by Electronic Arts; closed in 2013"
PlayFirst,0,San Francisco,,US,2004,,"Acquired by Glu Mobile in 2014; Casual game developer, publisher and portal"
Playground Games,1,Royal Leamington Spa,,England,2009,Forza Horizon series,Acquired by Microsoft Studios in 2018
PlatinumGames,1,Osaka,,Japan,2006,MadWorldBayonetta seriesVanquishMetal Gear Rising: RevengeanceThe Wonderful 101Star Fox ZeroNier: AutomataAstral Chain,"Successor to Clover Studio, and founded by Shinji Mikami, Atsushi Inaba, and Hideki Kamiya."
Polyphony Digital,1,Tokyo,,Japan,1998,Gran Turismo seriesTourist Trophy,Division of SIE Worldwide Studios
PopCap Games,1,Seattle,Washington,US,2000,Bejeweled seriesPlants vs. Zombies seriesPeggle seriesZuma,"Casual game developer, publisher and portal; subsidiary of Electronic Arts since 2011"
Press Play,0,Copenhagen,,Denmark,2006,Max & the Magic MarkerMax: The Curse of Brotherhood,Former subsidiary of Microsoft Studios; defunct in March 2016
Psyonix,1,San Diego,California,US,2001,Rocket LeagueXCOM: Enemy Unknown,Acquired by Epic Games in 2019
Punch Entertainment,1,Hanoi,,Vietnam,2005,,"Subsidiary of Evolable Asia [ja]; Casual games, social games developer"
Pyro Mobile,1,Madrid,,Spain,1996,Commandos series,Subsidiary of Zed Group; their assets were acquired by Kalypso Media[21]
Q Entertainment,0,Tokyo,,Japan,2003,Lumines series,Acquired by Sanyo Kasei Seisakusho in 2013 and the parent company was defunct in 2018.
Q-Games,1,Nakagyō-ku,,Japan,2001,Star Fox CommandPixelJunk seriesThe Tomorrow Children,
Quantic Dream,1,Paris,,France,1997,FahrenheitHeavy RainBeyond: Two SoulsDetroit: Become Human,
Quest Corporation,0,Tokyo,,Japan,1988,Ogre Battle series,The game development division was acquired by Square in 2002
Radical Entertainment,0,Vancouver,,Canada,1991,Prototype series,Shut down by Activision and dissolved in 2013[22]
Rage Games,0,Liverpool,,England,1992,Incoming series,Defunct in 2003
Rainbow Studios,0,Phoenix,Arizona,US,1996,MX vs. ATV series,"Acquired by THQ, later closed by THQ"
Rare,1,Twycross,,England,1985,Battletoads seriesDonkey Kong Country seriesKiller Instinct seriesBanjo-Kazooie seriesDonkey Kong 64GoldenEye 007Conker's Bad Fur DayPerfect Dark seriesSea of Thieves,Successor to Ultimate Play the Game; second-party developer for Nintendo; turned; Acquired by Microsoft Studios in 2002 as a first-party developer
Raven Software,1,Middleton,Wisconsin,US,1990,HereticHexenSingularityCall of Duty seriesStar Wars Jedi Knight II: Jedi OutcastSoldier of Fortune II: Double HelixMarvel: Ultimate Alliance,Acquired by Activision in 1997
Ready at Dawn,1,Irvine,California,US,2003,DaxterThe Order: 1886DeformersLone Echo,Formed by former members of Naughty Dog and Blizzard Entertainment
Red Entertainment,1,Tokyo,,Japan,"1976 (as the Red Company), 2000 (as Red Entertainment)",Sakura Wars seriesGungrave series,Developer/publisher; acquired by Oizumi Corporation [ja] in 2014
Reality Pump Studios,1,Kraków,,Poland,1995,Two Worlds series,Division of TopWare Interactive
Realtime Associates,1,Los Angeles,California,US,1986,,
Realtime Worlds,0,Dundee,,Scotland,2002,Crackdown,Closed in 2010
Rebellion Developments,1,Oxford,,England,1992,Aliens vs. Predator seriesSniper Elite series,
Rebellion Warwick,1,Leamington Spa,,England,2013,SkySaga: Infinite Isles,Formed by former employees of Blitz Games Studios; acquired by Rebellion Developments in 2018
RedLynx,1,Helsinki,,Finland,2000,Trials series,Subsidiary of Ubisoft
Red Thread Games,1,Oslo,,Norway,2012,Dreamfall Chapters: The Longest Journey,Founded by former employees of Funcom
Red Storm Entertainment,1,Cary,North Carolina,US,1996,Tom Clancy's Ghost ReconTom Clancy's Rainbow Six,Acquired by Ubisoft in 2000
RedTribe (Tribalant),0,Melbourne,Victoria,Australia,2003,,
Reflexive Entertainment,0,Lake Forest,California,US,1997,Airport Mania series,Subsidiary of Amazon.com
Relic Entertainment,1,Vancouver,British Columbia,Canada,1997,Company of Heroes seriesWarhammer 40000: Dawn of War seriesHomeworld series,Acquired by Sega in 2013
Remedy Entertainment,1,Espoo,,Finland,1995,Max Payne seriesAlan Wake seriesControl,
Respawn Entertainment,1,"Sherman Oaks, Los Angeles",California,US,2010,TitanfallApex Legends,Acquired by Electronic Arts in 2017.
Reto-Moto,1,Copenhagen,,Denmark,2008,Heroes & Generals,
Retro Studios,1,Austin,Texas,US,1998,Metroid Prime seriesDonkey Kong Country series,First-party developer and subsidiary of Nintendo
Revolution Software,1,York,,England,1990,Broken Sword seriesBeneath a Steel Sky,
Riot Games,1,Santa Monica,California,US,2006,League of Legends,Acquired by Tencent in 2011
Rising Star Games,1,Luton,,England,2004,,Acquired by Thunderful in 2018
Robot Entertainment,1,Plano,Texas,US,2009,Orcs Must Die! seriesHero Academy seriesAge of Empires Online,
Rockstar GamesRockstar IndiaRockstar LeedsRockstar LincolnRockstar LondonRockstar New EnglandRockstar NorthRockstar San DiegoRockstar Toronto,1,New York CityBangaloreLeedsLincolnLondonBallardvaleEdinburghCarlsbadOakville,New YorkKarnatakaMassachusettsCaliforniaOntario,USIndiaEnglandEnglandEnglandUSScotlandUSCanada,1.9982E+35,Grand Theft Auto franchiseManhunt seriesMidnight Club seriesRed Dead seriesBully,Developer/publisher; owned by Take-Two Interactive
Rocksteady Studios,1,London,,England,2005,Batman: Arkham series,Subsidiary of Warner Bros. Interactive Entertainment
Robinson Technologies,1,Hiroshima,,Japan,,Dink Smallwood,
Rovio Entertainment,1,Espoo,,Finland,2003,Angry Birds franchise,"Publisher, developer and distributor"
Ruffian Games,1,Dundee,,Scotland,2008,Crackdown 2,
Runic Games,0,Seattle,Washington,US,2008,Torchlight,Subsidiary of Perfect World; closed in 2017
Running with Scissors,1,Tucson,Arizona,US,1997,Postal series,
Saber Interactive,1,Millburn,New Jersey,US,2001,World War Z,Acquired by Embracer Group in 2020.[23]
Sand Grain Studios,0,Bucharest,,Romania,2002,Cabela's Big Game Hunter: 2004 Season,Dissolved in 2009[24]
Sandlot,1,Tokyo,,Japan,2001,Earth Defense Force series,Formed by former employees of Human Entertainment
Sanzaru Games,1,Foster City,California,US,2006,Sly Cooper: Thieves in TimeSonic Boom: Shattered CrystalSonic Boom: Fire & Ice,Acquired by Facebook in 2020.[25]
Sir-Tech,0,Ogdensburg,,USCanada,1979,Wizardry seriesJagged Alliance series,
