Developer,Active,City,Autonomous area,Country,Est.,"Notable games, series or franchises",Notes
Avalanche Studios,1,Stockholm,,Sweden,2003,Just Cause seriestheHunter series,Acquired by Nordisk Film in 2018
Aventurine SA,0,Athens,,Greece,2002,Darkfall,
Babaroga,1,Chicago,Illinois,US,2001,,
Backflip Studios,0,Boulder,Colorado,US,2009,DragonVale,Subsidiary of Hasbro; closed in 2019[2]
Bandai,1,"Taitō, Tokyo",,Japan,1950,Digimon franchiseTamagotch franchise,Subsidiary of Bandai Namco Holdings; the console game division was merged into Namco Bandai Games in 2006
Bandai Namco EntertainmentBandai Namco Studios,1,"Minato, Tokyo",,Japan,19552012,Pac-Man franchiseTekken franchise Tekken series Tekken Tag Tournament series Soul Calibur seriesTales seriesKatamari seriesAce Combat seriesThe Idolmaster seriesTaiko no Tatsujin seriesGod Eater seriesSuper Smash Bros. for Nintendo 3DS and Wii UPokkén TournamentMojipittan seriesCode Vein,Bandai Namco Entertainment is a subsidiary of Bandai Namco Holdings; Bandai Namco Studios was split off from Bandai Namco Entertainment in 2012
Banpresto,0,Tokyo,,Japan,1977,Super Robot Wars series,Acquired by Namco Bandai Holdings in 2006; The video game division was merged into BEC (currently B.B. Studio) in 2011
Bauhaus Entertainment,1,Tokyo,,Japan,2006,,Division of Imagica DigitalScape [ja]
B.B. Studio,1,Tokyo,,Japan,1994,Digimon World seriesSuper Robot Wars series,Subsidiary of Bandai Namco Entertainment
Beenox,1,Quebec City,Quebec,Canada,2000,Spider-Man game seriesCrash Team Racing Nitro-Fueled,"Acquired by Activision on May 25, 2005"
Behaviour Interactive,1,Montreal,Quebec,Canada,1992,Dead by Daylight,
Behaviour Santiago,0,Santiago de Chile,,Chile,2002,Assault Heroes series,Subsidiary of Behaviour Interactive; closed in 2017
Bethesda Game Studios,1,Rockville,Maryland,US,2001,The Elder Scrolls seriesFallout series,In-house development team of Bethesda Softworks LLC
Big Finish Games,1,Salt Lake City,Utah,US,2007,Tesla Effect: A Tex Murphy Adventure,
Big Huge Games,1,Baltimore,Maryland,US,2000,Rise of NationsKingdoms of Amalur: ReckoningDomiNations,Acquired by Nexon in 2016
BioWare,1,Edmonton,Alberta,Canada,1995,Baldur's Gate seriesMass Effect seriesDragon Age seriesNeverwinter NightsStar Wars: The Old RepublicAnthem,Acquired by Electronic Arts in 2007
The Bitmap Brothers,0,London,,England,1987,Xenon series,Dissolved.[3][4] Their portfolio was acquired by Rebellion Developments in 2019.[5]
Best Way,1,Luhansk,,Ukraine,1991,Men of War series,
Bits Studios,0,London,,England,1991,Spider-Man: Return of the Sinister Six,Acquired by PlayWize in 2008
Bizarre Creations,0,Liverpool,,England,1994,Project Gotham Racing seriesGeometry Wars series,Defunct in 2011
Black Forest Games,1,Offenburg,,Germany,2012,Giana Sisters: Twisted Dreams,Acquired by THQ Nordic in 2017
Black Isle Studios,0,Orange County,California,US,1996,Fallout 2Planescape: TormentIcewind Dale,Subsidiary of Interplay Entertainment; closed in 2003
Black Rock Studio,0,Brighton,,England,1998,MotoGP 2ATV Offroad Fury 3,Defunct in 2011
Black Wing Foundation,1,Dnipro,,Ukraine,2006,Stalin vs. MartiansSpeed Kills,
Blitz Games Studios,0,Leamington Spa,,England,1990,Karaoke Revolution,Liquidated[6]
Blizzard Entertainment,1,Irvine,California,US,1991,Diablo seriesStarCraft seriesWarcraft seriesHearthstoneHeroes of the StormOverwatch,Developer/publisher; acquired by Vivendi and became part of Vivendi Games group in 1998; merged into Activision Blizzard in 2008
Blueside,1,Seoul,,South Korea,2003,Kingdom Under Fire series,Founded by former employees of Phantagram
Blue Fang Games,0,Waltham,Massachusetts,US,1998,Zoo Tycoon series,Shut down in 2011
Blue Tongue Entertainment,0,Melbourne,Victoria,Australia,1995,Jurassic Park: Operation Genesisde BlobMarvel Super Hero Squad,Shut down in 2011; subsidiary of THQ
Bluehole,1,Seongnam,,South Korea,2007,TERAPlayerUnknown's Battlegrounds,
Bohemia Interactive,1,Prague,,Czech Republic,1999,Operation Flashpoint: Cold War CrisisArma seriesTake On HelicoptersCarrier Command: Gaea MissionDayZ,
Boss Fight Entertainment,1,McKinney,Texas,US,2013,,
Boss Key Productions,0,Raleigh,North Carolina,US,2014,LawBreakers,Founded by Cliff Bleszinski and Arjan Brussee
BreakAway Games,1,Hunt Valley,Maryland,US,1998,,
Br�derbund,0,Eugene,Oregon,US,1980,Prince of Persia series,Cosed in 1998
Bugbear Entertainment,1,Helsinki,,Finland,2000,FlatOut seriesWreckfest,Acquired by THQ Nordic in 2018
Bullfrog Productions,0,Guildford,,England,1987,Theme ParkMagic CarpetSyndicateDungeon Keeper series,Acquired by Electronic Arts in 1995 and closed in 2001
Bungie,1,Bellevue,Washington,US,1991,Halo seriesMarathonOniMythPathways into DarknessMinotaur: The Labyrinths of CreteOperation: Desert StormDestiny series,Formerly a subsidiary of Microsoft Game Studios
Camelot Software Planning,1,Tokyo,,Japan,1990,Shining seriesMario Golf seriesMario Tennis seriesGolden Sun series,
